date,league,game_id,away_team,away_score,home_team,home_score,winner,status
20190328,mlb,401074734,BAL,2,NYY,7,NYY,Final
20190328,mlb,401074739,NYM,2,WSH,0,NYM,Final
20190328,mlb,401074741,STL,4,MIL,5,MIL,Final
20190328,mlb,401074742,ATL,4,PHI,10,PHI,Final
20190328,mlb,401074737,DET,2,TOR,0,DET,Final/10
20190328,mlb,401074733,ARI,5,LAD,12,LAD,Final
20190328,mlb,401074738,HOU,5,TB,1,HOU,Final
20190328,mlb,401074736,CHC,12,TEX,4,CHC,Final
20190328,mlb,401074740,SF,0,SD,2,SD,Final
20190328,mlb,401074744,CLE,0,MIN,2,MIN,Final
20190328,mlb,401074745,COL,6,MIA,3,COL,Final
20190328,mlb,401074746,PIT,3,CIN,5,CIN,Final
20190328,mlb,401074735,CHW,3,KC,5,KC,Final
20190328,mlb,401074747,BOS,4,SEA,12,SEA,Final
20190329,mlb,401074749,DET,0,TOR,6,TOR,Final
20190329,mlb,401074750,HOU,2,TB,4,TB,Final
20190329,mlb,401074753,COL,6,MIA,1,COL,Final
20190329,mlb,401074752,STL,9,MIL,5,STL,Final
20190329,mlb,401074748,ARI,5,LAD,4,ARI,Final/13
20190329,mlb,401074751,SF,1,SD,4,SD,Final
20190329,mlb,401074755,BOS,7,SEA,6,BOS,Final
20190330,mlb,401074757,BAL,5,NYY,3,BAL,Final
20190330,mlb,401074763,NYM,11,WSH,8,NYM,Final
20190330,mlb,401074760,CLE,2,MIN,1,CLE,Final
20190330,mlb,401074758,CHW,6,KC,8,KC,Final
20190330,mlb,401074761,DET,0,TOR,3,TOR,Final
20190330,mlb,401074767,ATL,6,PHI,8,PHI,Final
20190330,mlb,401074762,HOU,1,TB,3,TB,Final
20190330,mlb,401074768,COL,3,MIA,7,MIA,Final
20190330,mlb,401074765,STL,2,MIL,4,MIL,Final
20190330,mlb,401074759,CHC,6,TEX,8,TEX,Final
20190330,mlb,401074764,SF,3,SD,2,SF,Final
20190330,mlb,401074756,ARI,5,LAD,18,LAD,Final
20190330,mlb,401074770,BOS,5,SEA,6,SEA,Final
20190331,mlb,401074772,BAL,7,NYY,5,BAL,Final
20190331,mlb,401074775,DET,4,TOR,3,DET,Final/11
20190331,mlb,401074781,COL,0,MIA,3,MIA,Final
20190331,mlb,401074782,PIT,5,CIN,0,PIT,Final
20190331,mlb,401074777,NYM,5,WSH,6,WSH,Final
20190331,mlb,401074779,STL,4,MIL,5,MIL,Final
20190331,mlb,401074783,CLE,3,MIN,9,MIN,Final
20190331,mlb,401074773,CHW,6,KC,3,CHW,Final
20190331,mlb,401074774,CHC,10,TEX,11,TEX,Final
20190331,mlb,401074771,ARI,7,LAD,8,LAD,Final
20190331,mlb,401074778,SF,1,SD,3,SD,Final
20190331,mlb,401074785,BOS,8,SEA,10,SEA,Final
20190331,mlb,401074780,ATL,1,PHI,5,PHI,Final
20190401,mlb,401074793,STL,6,PIT,5,STL,Final/11
20190401,mlb,401074788,CHW,3,CLE,5,CLE,Final
20190401,mlb,401074790,DET,1,NYY,3,NYY,Final
20190401,mlb,401074794,MIL,4,CIN,3,MIL,Final
20190401,mlb,401074796,CHC,0,ATL,8,ATL,Final
20190401,mlb,401074787,BAL,6,TOR,5,BAL,Final
20190401,mlb,401074789,COL,1,TB,7,TB,Final
20190401,mlb,401074795,NYM,7,MIA,3,NYM,Final
20190401,mlb,401074791,HOU,2,TEX,1,HOU,Final
20190401,mlb,401074792,SF,4,LAD,2,SF,Final
20190401,mlb,401074786,ARI,10,SD,3,ARI,Final
20190401,mlb,401074798,LAA,3,SEA,6,SEA,Final
20190402,mlb,401074802,DET,3,NYY,1,DET,Final
20190402,mlb,401074807,MIL,4,CIN,3,MIL,Final
20190402,mlb,401074805,PHI,8,WSH,2,PHI,Final
20190402,mlb,401074800,BAL,2,TOR,1,BAL,Final
20190402,mlb,401074801,COL,0,TB,4,TB,Final
20190402,mlb,401074808,NYM,6,MIA,5,NYM,Final
20190402,mlb,401074803,HOU,4,TEX,6,TEX,Final
20190402,mlb,401074804,MIN,5,KC,4,MIN,Final/10
20190402,mlb,401074799,ARI,8,SD,5,ARI,Final
20190402,mlb,401074806,SF,5,LAD,6,LAD,Final
20190402,mlb,401074810,LAA,1,SEA,2,SEA,Final
20190403,mlb,401074820,MIL,1,CIN,0,MIL,Final
20190403,mlb,401074818,PHI,8,WSH,9,WSH,Final
20190403,mlb,401074813,CHW,8,CLE,3,CHW,Final
20190403,mlb,401074814,COL,1,TB,0,COL,Final/11
20190403,mlb,401074817,MIN,7,KC,6,MIN,Final
20190403,mlb,401074811,ARI,1,SD,4,SD,Final
20190403,mlb,401074815,DET,2,NYY,1,DET,Final
20190403,mlb,401074812,BAL,3,TOR,5,TOR,Final
20190403,mlb,401074821,NYM,6,MIA,4,NYM,Final
20190403,mlb,401074823,CHC,4,ATL,6,ATL,Final
20190403,mlb,401074822,STL,5,PIT,4,STL,Final/10
20190403,mlb,401074816,HOU,0,TEX,4,TEX,Final
20190403,mlb,401074819,SF,3,LAD,5,LAD,Final
20190404,mlb,401074825,KC,4,DET,5,DET,Final
20190404,mlb,401074830,WSH,4,NYM,0,WSH,Final
20190404,mlb,401074831,NYY,8,BAL,4,NYY,Final
20190404,mlb,401074829,TOR,1,CLE,4,CLE,Final
20190404,mlb,401074833,CIN,0,PIT,2,PIT,Final
20190404,mlb,401074834,CHC,4,ATL,9,ATL,Final
20190404,mlb,401074828,TEX,11,LAA,4,TEX,Final
20190405,mlb,401125954,SEA,8,CHW,10,CHW,Final
20190405,mlb,401074841,LAD,10,COL,6,LAD,Final
20190405,mlb,401126011,SD,5,STL,3,SD,Final
20190405,mlb,401074838,TB,5,SF,2,TB,Final
20190405,mlb,401074842,CIN,0,PIT,2,PIT,Final
20190405,mlb,401074843,MIN,4,PHI,10,PHI,Final
20190405,mlb,401074835,BOS,8,ARI,15,ARI,Final
20190405,mlb,401074840,TOR,2,CLE,3,CLE,Final
20190405,mlb,401074844,MIA,0,ATL,4,ATL,Final
20190405,mlb,401074836,CHC,10,MIL,13,MIL,Final
20190405,mlb,401074839,TEX,1,LAA,3,LAA,Final
20190406,mlb,401074847,KC,4,DET,7,DET,Final
20190406,mlb,401074855,WSH,5,NYM,6,NYM,Final
20190406,mlb,401074856,CIN,5,PIT,6,PIT,Final/10
20190406,mlb,401074851,SEA,9,CHW,2,SEA,Final
20190406,mlb,401074850,SD,6,STL,4,SD,Final
20190406,mlb,401074852,TB,4,SF,6,SF,Final
20190406,mlb,401074853,TEX,1,LAA,5,LAA,Final
20190406,mlb,401074854,TOR,2,CLE,7,CLE,Final
20190406,mlb,401074858,NYY,6,BAL,4,NYY,Final
20190406,mlb,401074846,CHC,14,MIL,8,CHC,Final
20190406,mlb,401074848,MIA,4,ATL,2,MIA,Final
20190406,mlb,401074845,BOS,4,ARI,5,ARI,Final
20190406,mlb,401074859,LAD,7,COL,2,LAD,Final
20190407,mlb,401074870,MIN,1,PHI,2,PHI,Final
20190407,mlb,401074871,NYY,15,BAL,3,NYY,Final
20190407,mlb,401074862,KC,1,DET,3,DET,Final
20190407,mlb,401074868,TOR,1,CLE,3,CLE,Final
20190407,mlb,401074869,WSH,12,NYM,9,WSH,Final
20190407,mlb,401074872,MIA,3,ATL,4,ATL,Final
20190407,mlb,401074873,CIN,5,PIT,7,PIT,Final
20190407,mlb,401074861,CHC,2,MIL,4,MIL,Final
20190407,mlb,401074865,SEA,12,CHW,5,SEA,Final
20190407,mlb,401074864,SD,1,STL,4,STL,Final
20190407,mlb,401074866,TB,3,SF,0,TB,Final
20190407,mlb,401074867,TEX,2,LAA,7,LAA,Final
20190407,mlb,401074860,BOS,1,ARI,0,BOS,Final
20190407,mlb,401074874,LAD,12,COL,6,LAD,Final
20190408,mlb,401074881,TB,5,CHW,1,TB,Final
20190408,mlb,401074878,PIT,0,CHC,10,CHC,Final
20190408,mlb,401074877,NYY,3,HOU,4,HOU,Final
20190408,mlb,401074883,WSH,3,PHI,4,PHI,Final
20190408,mlb,401074875,LAD,3,STL,4,STL,Final
20190408,mlb,401074880,SEA,13,KC,5,SEA,Final
20190408,mlb,401074884,ATL,8,COL,6,ATL,Final
20190408,mlb,401074879,SD,6,SF,5,SD,Final
20190408,mlb,401074876,MIL,2,LAA,5,LAA,Final
20190409,mlb,401074885,CLE,8,DET,2,CLE,Final
20190409,mlb,401074894,TOR,7,BOS,5,TOR,Final
20190409,mlb,401074892,TB,10,CHW,5,TB,Final
20190409,mlb,401074895,MIA,0,CIN,14,CIN,Final
20190409,mlb,401074897,WSH,10,PHI,6,WSH,Final/10
20190409,mlb,401074888,MIN,14,NYM,8,MIN,Final
20190409,mlb,401074886,LAD,0,STL,4,STL,Final
20190409,mlb,401074889,NYY,3,HOU,6,HOU,Final
20190409,mlb,401074891,SEA,6,KC,3,SEA,Final
20190409,mlb,401074898,ATL,7,COL,1,ATL,Final
